,Name,Marketcap,Price,Circ. Supply,Blockchain,24h Change,7d Change
0,Bitcoin BTC , 168.16B,0, 18.02M, Own Blockchain,0,0
1,Ethereum ETH , 19.56B,0, 108.32M, Own Blockchain,0,0
2,XRP XRP , 12.73B,0, 43.25B, Own Blockchain,0,0
3,Bitcoin Cash BCH , 4.58B,0, 18.08M, Own Blockchain,0,0
4,Tether USDT , 4.12B,0, 4.11B, Omni,0,0
5,Litecoin LTC , 3.64B,0, 63.55M, Own Blockchain,0,0
6,Binance Coin BNB , 2.96B,0, 155.54M, Own Blockchain,0,0
7,EOS EOS , 2.95B,0, 937.63M, Own Blockchain,0,0
8,Bitcoin SV BSV , 2.5B,0, 18.07M, Own Blockchain,0,0
9,Stellar XLM , 1.26B,0, 20.04B, Own Blockchain,0,0
10,TRON TRX , 1.11B,0, 66.68B, Own Blockchain,0,0
11,Cardano ADA , 1.05B,0, 25.93B, Own Blockchain,0,0
12,Monero XMR , 984.1M,0, 17.28M, Own Blockchain,0,0
13,UNUS SED LEO LEO , 986.19M,0, 999.5M, Ethereum (ERC20),0,0
14,Chainlink LINK , 943.96M,0, 350M, Ethereum (ERC677),0,0
15,Huobi Token HT , 842.38M,0, 241.42M, Ethereum (ERC20),0,0
16,Neo NEO , 740.72M,0, 70.54M, Own Blockchain,0,0
17,IOTA MIOTA , 728.77M,0, 2.78B, Own Blockchain,0,0
18,Dash DASH , 635.54M,0, 9.12M, Own Blockchain,0,0
19,Cosmos ATOM , 595.28M,0, 190.69M, Own Blockchain,0,0
20,Tezos XTZ , 543.51M,0, 660.37M, Own Blockchain,0,0
21,Ethereum Classic ETC , 533.48M,0, 114.6M, Own Blockchain,0,0
22,Maker MKR , 500.59M,0, 1000K, Ethereum (ERC20),0,0
23,USD Coin USDC , 479.14M,0, 479M, Ethereum (ERC20),0,0
24,Ontology ONT , 407.32M,0, 547.35M, NEO,0,0
25,Crypto.com Coin CRO , 399.76M,0, 11.17B, Ethereum (ERC20),0,0
26,NEM XEM , 368.11M,0, 9B, Own Blockchain,0,0
27,Basic Attention Token BAT , 319.26M,0, 1.35B, Ethereum (ERC20),0,0
28,Dogecoin DOGE , 319.63M,0, 121.8B, Own Blockchain,0,0
29,Zcash ZEC , 279.44M,0, 7.72M, Own Blockchain,0,0
30,Paxos Standard PAX , 259.44M,0, 259.11M, Ethereum (ERC20),0,0
